state_code,state_name,state_name_hindi
MH,Maharashtra,महाराष्ट्र
UP,Uttar Pradesh,उत्तर प्रदेश
TN,Tamil Nadu,तमिलनाडु
WB,West Bengal,पश्चिम बंगाल
KA,Karnataka,कर्नाटक
AP,Andhra Pradesh,आंध्र प्रदेश
TG,Telangana,तेलंगाना
BR,Bihar,बिहार
GJ,Gujarat,गुजरात
MP,Madhya Pradesh,मध्य प्रदेश
RJ,Rajasthan,राजस्थान
OR,Odisha,ओडिशा
KL,Kerala,केरल
JH,Jharkhand,झारखंड
AS,Assam,असम
PB,Punjab,पंजाब
CT,Chhattisgarh,छत्तीसगढ़
HR,Haryana,हरियाणा
DL,Delhi,दिल्ली
JK,Jammu and Kashmir,जम्मू और कश्मीर
LA,Ladakh,लद्दाख
UK,Uttarakhand,उत्तराखंड
HP,Himachal Pradesh,हिमाचल प्रदेश
TR,Tripura,त्रिपुरा
ML,Meghalaya,मेघालय
MN,Manipur,मणिपुर
NL,Nagaland,नागालैंड
MZ,Mizoram,मिजोरम
AR,Arunachal Pradesh,अरुणाचल प्रदेश
GA,Goa,गोवा
SK,Sikkim,सिक्किम
CH,Chandigarh,चंडीगढ़
AN,Andaman and Nicobar,अंडमान और निकोबार
DD,Daman and Diu,दमन और दीव
DN,Dadra and Nagar Haveli,दादरा और नगर हवेली
LD,Lakshadweep,लक्षद्वीप
PY,Puducherry,पुडुचेरी
